#host_mono_ns,byte_offset,bytes
173097399287340,46303,42
173097400390465,46345,42
173097400474579,46387,42
173097401434684,46429,42
173097402498590,46471,42
173097403567965,46513,42
173097404639736,46555,42
173097405707444,46597,42
173097406779423,46639,42
173097407846350,46681,42
173097408917236,46723,42
173097409998329,46765,42
173097411169163,46807,42
173097412147809,46849,42
173097413206038,46891,42
173097414282079,46933,42
173097415353069,46975,42
173097416433850,47017,42
173097417487861,47059,42
173097417560829,47101,42
173097418558798,47143,42
173097419627340,47185,42
173097420739631,47227,42
173097421808642,47269,42
173097422878121,47311,20
173097422951454,47331,42
173097423948017,47373,42
173097425015777,47415,42
173097426088121,47457,42
173097427160777,47499,42
173097428228746,47541,42
173097429314475,47583,42
173097430404059,47625,42
173097431459267,47667,42
173097432524059,47709,42
173097433593642,47751,42
173097433666246,47793,42
173097434666923,47835,42
173097435734579,47877,42
173097436804631,47919,42
173097437881246,47961,42
173097438948538,48003,42
173097440116298,48045,42
173097441096923,48087,42
173097442169475,48129,42
173097443243069,48171,42
173097444316246,48213,42
173097445393017,48255,42
173097446453798,48297,42
173097447525569,48339,42
173097448592079,48381,42
173097449756194,48423,42
173097449828798,48465,42
173097450747548,48507,42
173097451813277,48549,42
173097452881715,48591,42
173097453950204,48633,42
173097455016819,48675,42
173097456088746,48717,42
173097456161611,48759,20
173097457167340,48779,42
173097458235100,48821,42
173097459302392,48863,42
173097460390777,48905,42
173097461437496,48947,42
173097462507340,48989,42
173097463574006,49031,42
173097464648225,49073,42
173097465718121,49115,42
173097466790569,49157,42
173097466863486,49199,42
173097467859944,49241,42
173097468931506,49283,42
173097470250465,49325,42
173097471101871,49367,42
173097472168850,49409,42
173097473235621,49451,42
173097474303694,49493,42
173097475372756,49535,42
173097476442809,49577,42
173097477510829,49619,42
173097478582809,49661,42
173097479653850,49703,42
173097480742079,49745,42
173097481806246,49787,42
173097482877184,49829,42
173097483044788,49871,42
173097483950517,49913,42
173097485032600,49955,42
173097486097965,49997,42
173097487170777,50039,42
173097488240829,50081,42
173097489313954,50123,42
173097489387340,50165,20
173097490394475,50185,42
173097491454892,50227,42
173097492523017,50269,42
173097493591506,50311,42
173097494661767,50353,42
173097495730621,50395,42
173097496799163,50437,42
173097497874631,50479,42
173097498961975,50521,42
173097500128017,50563,42
173097500214267,50605,42
173097501109840,50647,42
173097502177027,50689,42
173097503242756,50731,42
173097504310777,50773,42
173097505382600,50815,42
173097506451142,50857,42
173097507522131,50899,42
173097508595777,50941,42
173097509658433,50983,42
173097510742444,51025,42
173097511805517,51067,42
173097512892600,51109,42
173097513965725,51151,42
173097515030152,51193,42
173097516101454,51235,42
173097516173173,51277,42
173097517176246,51319,42
173097518239215,51361,42
173097519311298,51403,42
173097520413486,51445,42
173097521474996,51487,42
173097522524371,51529,42
173097522595569,51571,20
173097523590569,51591,42
173097524662496,51633,42
173097525729579,51675,42
173097526817913,51717,42
173097527886923,51759,42
173097528949423,51801,42
173097530128069,51843,42
173097531102236,51885,42
173097532166298,51927,42
