#host_mono_ns,byte_offset,bytes
173357267761668,28445,42
173357268831720,28487,42
173357269900522,28529,42
173357270977293,28571,42
173357272046928,28613,42
173357273120053,28655,42
173357274192761,28697,42
173357275281876,28739,42
173357276338074,28781,42
173357277405522,28823,42
173357278470053,28865,42
173357279540209,28907,42
173357280633647,28949,42
173357281693699,28991,42
173357282761459,29033,42
173357282832449,29075,42
173357283835261,29117,42
173357284902866,29159,42
173357286075418,29201,42
173357287194116,29243,42
173357288122449,29285,42
173357289182709,29327,42
173357290348230,29369,42
173357291330157,29411,42
173357292395834,29453,42
173357293465834,29495,42
173357294533386,29537,42
173357295672449,29579,42
173357296669168,29621,42
173357297738491,29663,20
173357297809636,29683,42
173357298813699,29725,42
173357299879793,29767,42
173357299949741,29809,42
173357302028230,29851,42
173357302120574,29893,42
173357303103074,29935,42
173357304170053,29977,42
173357305241303,30019,42
173357306306720,30061,42
173357307377345,30103,42
173357308444428,30145,42
173357309515209,30187,42
173357310669428,30229,42
173357311734376,30271,42
173357312802449,30313,42
173357313871095,30355,42
173357314947918,30397,42
173357316010105,30439,42
173357316082084,30481,42
173357317077553,30523,42
173357318148074,30565,42
173357319215261,30607,42
173357320490209,30649,42
173357321359897,30691,42
173357322425209,30733,42
173357323492241,30775,42
173357324565522,30817,42
173357325693282,30859,42
173357326727189,30901,42
173357327785157,30943,42
173357328853803,30985,42
173357329927501,31027,42
173357331005105,31069,42
173357331092918,31111,20
173357332069064,31131,42
173357332139480,31173,42
173357333141147,31215,42
173357334208178,31257,42
173357335276668,31299,42
173357336345105,31341,42
173357337417241,31383,42
173357338533803,31425,42
173357339561616,31467,42
173357340680574,31509,42
173357341718230,31551,42
173357342785991,31593,42
173357343857605,31635,42
173357344923595,31677,42
173357345992501,31719,42
173357347065105,31761,42
173357348196668,31803,42
173357349206980,31845,42
173357349277136,31887,42
173357350422970,31929,42
173357351346928,31971,42
173357352413855,32013,42
173357353479689,32055,42
173357354552501,32097,42
173357355620418,32139,42
173357356690574,32181,42
173357357767293,32223,42
173357358832345,32265,42
173357359900939,32307,42
173357360988699,32349,42
173357362051043,32391,42
173357363117501,32433,42
173357364188334,32475,42
173357364260939,32517,20
173357365257709,32537,42
173357366327918,32579,42
173357366400418,32621,42
173357367396824,32663,42
173357368465574,32705,42
173357369533334,32747,42
173357370626095,32789,42
173357371785105,32831,42
173357372759897,32873,42
173357373826355,32915,42
173357374899793,32957,42
173357376084064,32999,42
173357377051459,33041,42
173357378112136,33083,42
173357379181668,33125,42
173357380485418,33167,42
173357381415991,33209,42
173357381491876,33251,42
173357382394168,33293,42
173357383460157,33335,42
173357384531043,33377,42
173357385601928,33419,42
173357386668803,33461,42
173357387749011,33503,42
173357388883282,33545,42
173357389883022,33587,42
173357390964793,33629,42
173357392026824,33671,42
173357393096355,33713,42
173357394167553,33755,42
173357395237761,33797,42
173357396320678,33839,42
173357397390886,33881,42
173357397556876,33923,20
173357398465105,33943,42
173357399528491,33985,42
173357399600626,34027,42
173357400628803,34069,42
173357401692084,34111,42
173357402757032,34153,42
173357403823907,34195,42
173357404898647,34237,42
173357405972970,34279,42
173357407037761,34321,42
173357408107761,34363,42
173357409178647,34405,42
173357410302814,34447,42
173357411318803,34489,42
173357412388855,34531,42
173357413459168,34573,42
173357414525470,34615,42
173357415598855,34657,42
173357415671511,34699,42
173357416665574,34741,42
173357417734897,34783,42
173357418801720,34825,42
173357419870886,34867,42
173357420956824,34909,42
173357422023022,34951,42
173357423093178,34993,42
173357424190157,35035,42
173357425236616,35077,42
173357426649116,35119,42
173357427391668,35161,42
173357428450209,35203,42
173357429622084,35245,42
173357430699793,35287,42
173357430787345,35329,20
173357430850209,35349,42
173357431768491,35391,42
173357432837709,35433,42
173357433906772,35475,42
173357434972970,35517,42
173357436046616,35559,42
173357437115053,35601,42
173357438186147,35643,42
173357439260939,35685,42
173357440510314,35727,42
173357441406928,35769,42
173357442471043,35811,42
173357443539532,35853,42
173357444607345,35895,42
173357445676616,35937,42
173357446749063,35979,42
173357446821407,36021,42
173357447817501,36063,42
173357448890678,36105,42
173357449957761,36147,42
173357451038126,36189,42
173357452103751,36231,42
173357453165001,36273,42
173357454363907,36315,42
173357455308282,36357,42
173357456376980,36399,42
173357457522970,36441,42
173357458519063,36483,42
173357459584584,36525,42
173357460674480,36567,42
173357461742918,36609,42
173357462897188,36651,42
173357463963074,36693,42
173357464033803,36735,20
173357464096251,36755,42
173357465034011,36797,42
173357466103022,36839,42
173357467173803,36881,42
173357468354688,36923,42
173357469424636,36965,42
173357470498595,37007,42
173357471564480,37049,42
173357472643074,37091,42
173357473707657,37133,42
173357474777605,37175,42
173357475847345,37217,42
173357477240105,37259,42
173357478003647,37301,42
173357478082188,37343,42
173357479063334,37385,42
173357480428438,37427,42
173357481213699,37469,42
173357482289220,37511,42
173357483353386,37553,42
173357484423803,37595,42
173357485491459,37637,42
