#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6905902927989,10,-0.202415586,0.153699502,-0.362937272,-0.133075565,0.871887922,-0.398072332,-0.252271265
6905936274604,11,-0.202421412,0.153619245,-0.362732172,-0.133144975,0.872363508,-0.397533357,-0.251438946
6905969598406,12,-0.202475965,0.153569892,-0.362627417,-0.133457705,0.872224212,-0.397441626,-0.251901001
6906002933197,13,-0.202511773,0.153588086,-0.36267361,-0.133736789,0.871730566,-0.397916079,-0.252711415
6906036495072,14,-0.202483639,0.153599322,-0.362716913,-0.133607626,0.871789575,-0.397898704,-0.25260368
6906069589291,15,-0.202435449,0.153594702,-0.362742156,-0.133405715,0.871889293,-0.397842258,-0.252454996
6906102947572,16,-0.202405751,0.153594062,-0.3627505,-0.133400813,0.871670425,-0.398114115,-0.25278461
6906136263354,17,-0.202405676,0.153581277,-0.362674892,-0.133394614,0.871728361,-0.398091346,-0.252623916
6906169675228,18,-0.202377543,0.153546512,-0.362524152,-0.133418232,0.872115195,-0.397666723,-0.251944184
6906202933510,19,-0.202316612,0.153551638,-0.362371564,-0.133316696,0.872442186,-0.397191584,-0.251615047
6906236343249,20,-0.202269465,0.15357174,-0.362293243,-0.133240759,0.872700095,-0.397002041,-0.251059353
6906652942520,0,-0.202079728,0.15369536,-0.362738281,-0.133174062,0.872072399,-0.397580713,-0.252356976
6906686283510,1,-0.202122301,0.153693408,-0.362736285,-0.133025244,0.872142434,-0.397684962,-0.252028912
6906719632832,2,-0.202163056,0.153672948,-0.362689137,-0.133192077,0.872276783,-0.397298932,-0.252084494
6906752925124,3,-0.202230364,0.153683707,-0.362787664,-0.133177236,0.872376025,-0.397388041,-0.251607984
6906786261999,4,-0.202284232,0.153696373,-0.362951845,-0.133635581,0.871913612,-0.397771716,-0.252360493
6906819594135,5,-0.202263698,0.153713301,-0.36308217,-0.133591577,0.872037947,-0.397717088,-0.252040148
6906852936374,6,-0.202228814,0.15372932,-0.363159925,-0.133313194,0.872055292,-0.397582293,-0.252340049
6906886260541,7,-0.20232594,0.153714433,-0.363234073,-0.13370584,0.871830106,-0.39791286,-0.252389312
6906919691166,8,-0.202389553,0.153695419,-0.363222361,-0.133690029,0.871938705,-0.39781484,-0.25217697
6906952921843,9,-0.202445313,0.153683409,-0.363166779,-0.133629635,0.872291684,-0.397306472,-0.251789421
6906986263822,10,-0.202486172,0.153709695,-0.363262743,-0.133810416,0.872108996,-0.397506058,-0.25201115
6907019598457,11,-0.202485472,0.153726578,-0.363376439,-0.1338671,0.87185055,-0.397828043,-0.252366811
6907052932572,12,-0.202481031,0.153825939,-0.363532066,-0.13373217,0.871932864,-0.397848725,-0.252121449
6907086272155,13,-0.202479839,0.153889164,-0.363690197,-0.133811474,0.871834457,-0.397932529,-0.252287328
6907119600489,14,-0.202456132,0.153935015,-0.363790154,-0.133578241,0.871711016,-0.398190916,-0.252429783
6907152929551,15,-0.202483758,0.153934851,-0.363782734,-0.133754939,0.871860743,-0.39804408,-0.25205031
6907186263093,16,-0.202496439,0.153921753,-0.363751143,-0.133686393,0.872145355,-0.397750288,-0.251565278
6907219591686,17,-0.20252049,0.153904945,-0.363706887,-0.133679911,0.872297943,-0.397560596,-0.251339555
6907252981322,18,-0.202547044,0.153881863,-0.363740712,-0.133950502,0.872178733,-0.397529006,-0.251659006
6907286264030,19,-0.202551946,0.153891414,-0.363797635,-0.133829132,0.872431517,-0.397609591,-0.250718266
6907319604134,20,-0.202490419,0.153920293,-0.363913685,-0.133394033,0.872857511,-0.397376209,-0.249835789
6907736268822,0,-0.202285454,0.154113069,-0.364326745,-0.133412376,0.872971535,-0.397685975,-0.248933032
6907769596061,1,-0.202245817,0.154164806,-0.364410251,-0.133439586,0.87283963,-0.39782232,-0.249163106
6907802928770,2,-0.202180967,0.154276937,-0.364609331,-0.13343519,0.872478783,-0.398276627,-0.249702886
6907836617780,3,-0.202104047,0.154435769,-0.364867985,-0.133134171,0.872225165,-0.398719728,-0.25004217
6907869598874,4,-0.202025935,0.154578015,-0.365078092,-0.133033872,0.872109294,-0.398856372,-0.250281692
6907902925749,5,-0.20195502,0.15469721,-0.365203798,-0.132824242,0.872158945,-0.398841321,-0.250244141
6907936281217,6,-0.201938614,0.15474005,-0.365227193,-0.133005485,0.872234166,-0.398574352,-0.250310957
6907969603665,7,-0.201880366,0.154795006,-0.365197241,-0.133069858,0.872356594,-0.398286641,-0.250308186
6908002942103,8,-0.201752603,0.154842526,-0.365173608,-0.13277483,0.872383714,-0.397950023,-0.250904977
6908036274551,9,-0.201736093,0.154848561,-0.36524421,-0.13301599,0.872229815,-0.398139745,-0.251011223
6908069594238,10,-0.201725483,0.154838085,-0.365305156,-0.132950857,0.872160256,-0.398289323,-0.251050055
6908102930228,11,-0.201771319,0.154796705,-0.365309954,-0.133014798,0.872149885,-0.398255885,-0.251105338
6908136266217,12,-0.20183441,0.154773802,-0.365363628,-0.133095652,0.871958852,-0.398537517,-0.251279116
6908169606582,13,-0.201843858,0.154736444,-0.365390569,-0.132922634,0.871796906,-0.398704708,-0.251666933
6908202929342,14,-0.201911956,0.154671744,-0.365312546,-0.133009613,0.871946216,-0.398620963,-0.251236051
6908236734030,15,-0.201890275,0.154606119,-0.365163207,-0.132789329,0.872212172,-0.398178846,-0.251130402
6908286274238,16,-0.201908559,0.154539376,-0.365069717,-0.132806465,0.87215507,-0.398102462,-0.251440704
