USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           420     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           421     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           422     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           423     2       0      0 irq_thread          0 S [irq/51-tsens_in]
root           424     2       0      0 irq_thread          0 S [irq/52-tsens_cr]
root           425     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           426     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           427     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           428     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           429     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           430     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           431     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           432     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           433     2       0      0 irq_thread          0 S [irq/53-tsens_in]
root           434     2       0      0 irq_thread          0 S [irq/54-tsens_cr]
root           435     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           436     2       0      0 irq_thread          0 S [irq/315-limits_]
root           437     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           438     2       0      0 irq_thread          0 S [irq/316-limits_]
root           439     2       0      0 rescuer_thread      0 S [dm_bufio_cache]
root           440     2       0      0 cpufreq_interactive_speedchange_task 0 S [cfinteractive]
root           441     2       0      0 rescuer_thread      0 S [syncboss_pm_wor]
root           442     2       0      0 rescuer_thread      0 S [fwupdate_workqu]
root           443     2       0      0 irq_thread          0 S [irq/271-syncbos]
root           444     2       0      0 rescuer_thread      0 S [binder]
root           445     2       0      0 rescuer_thread      0 S [ipv6_addrconf]
root           446     2       0      0 irq_thread          0 S [irq/522-adsp]
root           447     2       0      0 rescuer_thread      0 S [sysmon_wq]
root           448     2       0      0 irq_thread          0 S [irq/490-modem]
root           449     2       0      0 rescuer_thread      0 S [k_sm_usb]
root           455     2       0      0 irq_thread          0 S [irq/19-sig-tx]
root           456     2       0      0 irq_thread          0 S [irq/20-sig-rx]
root           457     2       0      0 worker_thread       0 S [kworker/u17:0]
root           458     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           459     2       0      0 irq_thread          0 S [irq/682-soc-upd]
root           460     2       0      0 irq_thread          0 S [irq/683-soc-rea]
root           461     2       0      0 irq_thread          0 S [irq/684-bsoc-de]
root           462     2       0      0 irq_thread          0 S [irq/685-msoc-de]
root           463     2       0      0 irq_thread          0 S [irq/686-msoc-lo]
root           464     2       0      0 irq_thread          0 S [irq/687-msoc-em]
root           465     2       0      0 irq_thread          0 S [irq/688-msoc-hi]
root           466     2       0      0 irq_thread          0 S [irq/689-msoc-fu]
root           467     2       0      0 irq_thread          0 S [irq/690-vbatt-p]
root           468     2       0      0 irq_thread          0 S [irq/691-vbatt-l]
root           469     2       0      0 irq_thread          0 S [irq/692-esr-del]
root           470     2       0      0 irq_thread          0 S [irq/693-batt-mi]
root           471     2       0      0 irq_thread          0 S [irq/694-batt-te]
root           472     2       0      0 irq_thread          0 S [irq/695-ima-rdy]
root           473     2       0      0 irq_thread          0 S [irq/696-mem-xcp]
root           474     2       0      0 irq_thread          0 S [irq/697-dma-gra]
root           475     2       0      0 worker_thread       0 S [kworker/1:2]
root           478     2       0      0 rescuer_thread      0 S [k_sm_usb]
root           479     2       0      0 irq_thread          0 S [irq/46-hs_phy_i]
root           480     2       0      0 irq_thread          0 S [irq/47-ss_phy_i]
root           481     2       0      0 irq_thread          0 S [irq/48-msm_dwc3]
root           482     2       0      0 kthread_worker_fn   0 S [dwc_bh_worker]
root           483     2       0      0 rescuer_thread      0 S [usb_bam_wq]
root           484     2       0      0 try_core_ctl        0 S [core_ctl/0]
root           485     2       0      0 try_core_ctl        0 S [core_ctl/4]
root           494     2       0      0 events_notify_userspace 0 S [msm_perf:events]
root           495     2       0      0 rescuer_thread      0 S [rq_stats]
root           496     2       0      0 irq_thread          0 S [irq/97-arm-smmu]
root           497     2       0      0 irq_thread          0 S [irq/98-arm-smmu]
root           498     2       0      0 irq_thread          0 S [irq/99-arm-smmu]
root           499     2       0      0 irq_thread          0 S [irq/100-arm-smm]
root           500     2       0      0 irq_thread          0 S [irq/101-arm-smm]
root           501     2       0      0 irq_thread          0 S [irq/102-arm-smm]
root           502     2       0      0 irq_thread          0 S [irq/103-arm-smm]
root           503     2       0      0 irq_thread          0 S [irq/104-arm-smm]
root           504     2       0      0 rescuer_thread      0 S [sb-3]
root           505     2       0      0 ngd_slim_rx_msgq_thread 0 S [ngd_rx_thread3]
root           506     2       0      0 ngd_notify_slaves   0 S [ngd_notify_sl3]
root           507     2       0      0 do_sampling         0 D [msm-core:sampli]
root           509     2       0      0 do_hotplug          0 S [msm_thermal:hot]
root           510     2       0      0 do_freq_mitigation  0 S [msm_thermal:fre]
root           511     2       0      0 do_thermal_monitor  0 S [msm_thermal:the]
root           512     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           513     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           514     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           515     2       0      0 irq_thread          0 S [irq/56-lmh-inte]
root           516     2       0      0 rescuer_thread      0 S [bioset]
root           518     2       0      0 rescuer_thread      0 S [kdmflush]
root           519     2       0      0 worker_thread       0 S [kworker/5:1H]
root           520     2       0      0 rescuer_thread      0 S [bioset]
root           521     2       0      0 rescuer_thread      0 S [kverityd]
root           522     2       0      0 rescuer_thread      0 S [bioset]
root           523     2       0      0 rescuer_thread      0 S [bioset]
root           524     2       0      0 rescuer_thread      0 S [bioset]
root           525     2       0      0 rescuer_thread      0 S [ext4-rsv-conver]
root           526     2       0      0 worker_thread       0 S [kworker/4:1H]
root           527     1   38740   4408 poll_schedule_timeout 7f80d042a8 S init
root           528     1   38356   4216 poll_schedule_timeout 7f94fc62a8 S init
root           529     2       0      0 worker_thread       0 S [kworker/6:1H]
root           530     1   38488   5064 poll_schedule_timeout 7fac9062a8 S ueventd
