#seq,cam,ts_ns,file
2055,0,87860135560000,c0_002055.gray
2055,2,87860135547000,c2_002055.gray
2060,0,87860149999000,c0_002060.gray
2060,2,87860149960000,c2_002060.gray
2068,0,87860168902000,c0_002068.gray
2068,2,87860168885000,c2_002068.gray
2074,0,87860183238000,c0_002074.gray
2074,2,87860183222000,c2_002074.gray
2081,0,87860202238000,c0_002081.gray
2081,2,87860202221000,c2_002081.gray
2087,0,87860216574000,c0_002087.gray
2087,2,87860216557000,c2_002087.gray
2095,0,87860235571000,c0_002095.gray
2095,2,87860235554000,c2_002095.gray
2101,0,87860249899000,c0_002101.gray
2101,2,87860249884000,c2_002101.gray
2109,0,87860268896000,c0_002109.gray
2109,2,87860268881000,c2_002109.gray
2115,0,87860283233000,c0_002115.gray
2115,2,87860283219000,c2_002115.gray
2123,0,87860302228000,c0_002123.gray
2123,2,87860302215000,c2_002123.gray
2128,0,87860316567000,c0_002128.gray
2128,2,87860316554000,c2_002128.gray
2136,0,87860335562000,c0_002136.gray
2136,2,87860335548000,c2_002136.gray
2142,0,87860349898000,c0_002142.gray
2142,2,87860349884000,c2_002142.gray
2150,0,87860368897000,c0_002150.gray
2150,2,87860368884000,c2_002150.gray
2156,0,87860383234000,c0_002156.gray
2156,2,87860383219000,c2_002156.gray
2163,0,87860402229000,c0_002163.gray
2163,2,87860402215000,c2_002163.gray
2169,0,87860416567000,c0_002169.gray
2169,2,87860416553000,c2_002169.gray
2176,0,87860435662000,c0_002176.gray
2176,2,87860435573000,c2_002176.gray
2181,0,87860449902000,c0_002181.gray
2181,2,87860449887000,c2_002181.gray
2188,0,87860468898000,c0_002188.gray
2188,2,87860468884000,c2_002188.gray
2193,0,87860483354000,c0_002193.gray
2193,2,87860483320000,c2_002193.gray
2198,0,87860502236000,c0_002198.gray
2198,2,87860502221000,c2_002198.gray
2204,0,87860516569000,c0_002204.gray
2204,2,87860516556000,c2_002204.gray
2212,0,87860535571000,c0_002212.gray
2212,2,87860535554000,c2_002212.gray
2218,0,87860549913000,c0_002218.gray
2218,2,87860549895000,c2_002218.gray
2226,0,87860568907000,c0_002226.gray
2226,2,87860568889000,c2_002226.gray
2231,0,87860583241000,c0_002231.gray
2231,2,87860583225000,c2_002231.gray
2239,0,87860602234000,c0_002239.gray
2239,2,87860602219000,c2_002239.gray
2245,0,87860616568000,c0_002245.gray
2245,2,87860616554000,c2_002245.gray
2253,0,87860635564000,c0_002253.gray
2253,2,87860635550000,c2_002253.gray
2259,0,87860649900000,c0_002259.gray
2259,2,87860649886000,c2_002259.gray
2267,0,87860668893000,c0_002267.gray
2267,2,87860668882000,c2_002267.gray
2273,0,87860683234000,c0_002273.gray
2273,2,87860683220000,c2_002273.gray
2281,0,87860702231000,c0_002281.gray
2281,2,87860702217000,c2_002281.gray
2286,0,87860716570000,c0_002286.gray
2286,2,87860716555000,c2_002286.gray
2294,0,87860735595000,c0_002294.gray
2294,2,87860735583000,c2_002294.gray
2300,0,87860749901000,c0_002300.gray
2300,2,87860749887000,c2_002300.gray
2307,0,87860768903000,c0_002307.gray
2307,2,87860768888000,c2_002307.gray
