#seq,cam,ts_ns,file
895,0,173360923978000,c0_000895.gray
895,2,173360924005000,c2_000895.gray
897,0,173360938311000,c0_000897.gray
897,2,173360938337000,c2_000897.gray
898,0,173360957311000,c0_000898.gray
898,2,173360957339000,c2_000898.gray
902,0,173360971639000,c0_000902.gray
902,2,173360971656000,c2_000902.gray
910,0,173360990639000,c0_000910.gray
910,2,173360990664000,c2_000910.gray
913,2,173361005018000,c2_000913.gray
914,0,173361004982000,c0_000914.gray
918,0,173361023980000,c0_000918.gray
918,2,173361024017000,c2_000918.gray
920,0,173361038322000,c0_000920.gray
920,2,173361038363000,c2_000920.gray
924,0,173361057313000,c0_000924.gray
924,2,173361057349000,c2_000924.gray
926,0,173361071645000,c0_000926.gray
926,2,173361071672000,c2_000926.gray
930,0,173361090641000,c0_000930.gray
930,2,173361090669000,c2_000930.gray
932,0,173361104983000,c0_000932.gray
932,2,173361105011000,c2_000932.gray
936,2,173361124017000,c2_000936.gray
937,0,173361123980000,c0_000937.gray
939,0,173361138357000,c0_000939.gray
939,2,173361138322000,c2_000939.gray
943,0,173361157349000,c0_000943.gray
943,2,173361157313000,c2_000943.gray
945,0,173361171675000,c0_000945.gray
945,2,173361171649000,c2_000945.gray
949,0,173361190682000,c0_000949.gray
949,2,173361190647000,c2_000949.gray
952,0,173361205006000,c0_000952.gray
952,2,173361204980000,c2_000952.gray
956,0,173361224004000,c0_000956.gray
956,2,173361223977000,c2_000956.gray
958,0,173361238356000,c0_000958.gray
958,2,173361238318000,c2_000958.gray
962,0,173361257349000,c0_000962.gray
962,2,173361257313000,c2_000962.gray
965,0,173361271699000,c0_000965.gray
965,2,173361271673000,c2_000965.gray
969,0,173361290685000,c0_000969.gray
969,2,173361290647000,c2_000969.gray
971,0,173361305032000,c0_000971.gray
971,2,173361304993000,c2_000971.gray
975,0,173361324018000,c0_000975.gray
975,2,173361323982000,c2_000975.gray
977,0,173361338360000,c0_000977.gray
977,2,173361338325000,c2_000977.gray
982,0,173361357350000,c0_000982.gray
982,2,173361357315000,c2_000982.gray
984,0,173361371688000,c0_000984.gray
984,2,173361371652000,c2_000984.gray
988,0,173361390685000,c0_000988.gray
988,2,173361390649000,c2_000988.gray
990,0,173361405034000,c0_000990.gray
990,2,173361404997000,c2_000990.gray
